,WEO Country Code,ISO,WEO Subject Code,Country,Units,Scale,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,512,AFG,NGDP_R,Afghanistan,U.S. dollars,Billions,11.078591085054487,10.200248889838328,10.371193347142682,11.222821176285393,11.70780109132865,13.262455467315405,13.69421470737707,16.491135907988284,19.377100535434046,20.500989856760523,21.44214936290018,20.844542678832056,20.67459413882878,19.732703555443226,17.994,18.466178566427583,17.604499710022672,16.95320658682635,16.317264962148265,16.256822008941132,16.558126044257016,16.532832003543763,16.434387355632584,16.5954436322009,16.39570996949898
3,512,AFG,NGDPD,Afghanistan,U.S. dollars,Billions,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.635,20.22,17.994,18.91,18.401,18.876,19.132,19.938,21.201,22.01,22.754,23.896,24.553
6,512,AFG,NGDPRPC,Afghanistan,U.S. dollars,Units,592.2056657678623,523.7097495148014,512.4781449981722,535.7737737680618,542.1267520104564,591.3764218061029,595.4775898583407,698.9094589667457,798.4438275455597,819.0084111635427,829.0253687245425,779.6402208035242,749.054825703273,694.1976353571341,616.2313770974389,621.7555806481727,557.1025440426605,526.4976997005989,495.3528958992253,482.4245527870698,480.31733700422865,468.80038332744465,455.5318208552109,449.65387584391704,434.25433176105867
9,512,AFG,NGDPDPC,Afghanistan,U.S. dollars,Units,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,747.622,711.337,616.234,636.693,582.323,586.204,580.817,591.667,614.991,624.1,630.714,647.452,650.3
12,512,AFG,PPPSH,Afghanistan,Percent,,0.036,0.037,0.036,0.038,0.038,0.041,0.041,0.05,0.052,0.053,0.06,0.061,0.064,0.065,0.061,0.061,0.06,0.061,0.06,0.059,0.059,0.059,0.06,0.06,0.061
45,914,ALB,NGDP_R,Albania,U.S. dollars,Billions,3.1551548942331946,3.870445675172411,4.804730599357967,5.212152620799515,5.619229113075561,6.46079653619574,7.4862200771736305,6.834496742836163,6.482504051950146,6.846490720579417,6.473796340063474,6.696105892374357,6.832164356307918,5.841413343698364,6.1227440807345435,6.641107806403767,7.603141715574793,7.6401297188443955,7.470071377779943,8.294273615212605,8.669345216442343,9.072210596584497,9.432078949304062,9.766573711497406,10.108736753072291
48,914,ALB,NGDPD,Albania,U.S. dollars,Billions,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.147,15.276,15.147,17.138,18.32,19.662,21.009,22.422,23.903
51,914,ALB,NGDPRPC,Albania,U.S. dollars,Units,1034.1348512516092,1273.334991988054,1587.3239969579317,1730.7584070393689,1877.7411388336666,2175.33911563414,2540.015842108672,2334.5684293931504,2225.353190803856,2356.6386320370284,2232.035340311072,2312.9174905225736,2364.805301345221,2027.7722601390215,2128.83515208356,2311.1921353819366,2652.526190283178,2662.330946801475,2607.225592047828,2899.5151956824793,3035.4717612821773,3181.602114592372,3313.0899194155254,3436.06251221873,3562.10912504768
54,914,ALB,NGDPDPC,Albania,U.S. dollars,Units,1425.13,1846.12,2373.58,2673.77,2972.75,3595.05,4370.56,4114.09,4097.83,4439.89,4248.91,4415.6,4584.92,3953.61,4124.41,4542.76,5284.44,5323.19,5286.68,5991.09,6414.39,6895.5,7379.46,7888.6,8422.97
57,914,ALB,PPPSH,Albania,Percent,,0.029,0.029,0.029,0.029,0.029,0.03,0.031,0.032,0.032,0.031,0.03,0.029,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
