,WEO Country Code,ISO,WEO Subject Code,Country,Units,Scale,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
0,512,AFG,NGDP_R,Afghanistan,U.S. dollars,Billions,11.078591085054487,10.200248889838328,10.371193347142682,11.222821176285393,11.70780109132865,13.262455467315405,13.69421470737707,16.491135907988284,19.377100535434046,20.500989856760523,21.44214936290018,20.844542678832056,20.67459413882878,19.732703555443226,17.994,18.466178566427583,17.604499710022672,16.95320658682635,16.317264962148265,16.256822008941132,16.558126044257016,16.532832003543763,16.434387355632584,16.5954436322009,16.39570996949898
2,512,AFG,NGDP,Afghanistan,U.S. dollars,Billions,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.635,20.22,17.994,18.91,18.401,18.876,19.132,19.938,21.201,22.01,22.754,23.896,24.553
3,512,AFG,NGDPD,Afghanistan,U.S. dollars,Billions,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.635,20.22,17.994,18.91,18.401,18.876,19.132,19.938,21.201,22.01,22.754,23.896,24.553
6,512,AFG,NGDPRPC,Afghanistan,U.S. dollars,Units,592.2056657678623,523.7097495148014,512.4781449981722,535.7737737680618,542.1267520104564,591.3764218061029,595.4775898583407,698.9094589667457,798.4438275455597,819.0084111635427,829.0253687245425,779.6402208035242,749.054825703273,694.1976353571341,616.2313770974389,621.7555806481727,557.1025440426605,526.4976997005989,495.3528958992253,482.4245527870698,480.31733700422865,468.80038332744465,455.5318208552109,449.65387584391704,434.25433176105867
9,512,AFG,NGDPDPC,Afghanistan,U.S. dollars,Units,233.433,233.755,254.259,294.396,320.674,381.502,447.746,511.374,631.49,714.7,784.611,754.402,747.622,711.337,616.234,636.693,582.323,586.204,580.817,591.667,614.991,624.1,630.714,647.452,650.3
12,512,AFG,PPPSH,Afghanistan,Percent,,0.036,0.037,0.036,0.038,0.038,0.041,0.041,0.05,0.052,0.053,0.06,0.061,0.064,0.065,0.061,0.061,0.06,0.061,0.06,0.059,0.059,0.059,0.06,0.06,0.061
14,512,AFG,NID_NGDP,Afghanistan,Percent of GDP,,27.243,30.102,35.354,37.048,29.489,55.852,30.222,36.503,30.269,26.407,25.34,23.093,17.45,18.427,19.298,18.477,18.039,18.192,16.42,17.416,18.336,18.482,19.306,18.541,20.065
15,512,AFG,NGSD_NGDP,Afghanistan,Percent of GDP,,61.151,59.718,72.57,67.274,50.333,119.243,63.99,78.09,59.699,52.981,36.204,24.538,24.007,22.223,28.316,26.063,30.197,29.897,27.132,27.391,26.613,26.222,26.565,23.941,23.739
16,512,AFG,PCPI,Afghanistan,Index,,31.263,42.413,49.351,54.566,58.269,63.327,80.057,74.604,76.229,85.227,90.717,97.417,101.97,101.296,105.736,110.998,111.693,114.264,120.671,126.78,132.479,137.745,143.253,148.984,154.945
17,512,AFG,PCPIPCH,Afghanistan,Percent change,,0.0,35.663,16.358,10.569,6.785,8.681,26.419,-6.811,2.179,11.804,6.441,7.386,4.674,-0.662,4.384,4.976,0.626,2.302,5.607,5.062,4.495,3.975,3.999,4.0,4.001
21,512,AFG,TM_RPCH,Afghanistan,Percent change,,0.0,0.0,0.0,37.3,1.403,55.435,-2.324,-9.869,-7.882,28.046,32.285,12.751,31.436,3.671,-14.976,15.309,-7.929,4.442,-4.551,-7.862,2.892,4.918,2.197,1.139,0.471
23,512,AFG,TX_RPCH,Afghanistan,Percent change,,0.0,0.0,0.0,49.262,-5.861,46.497,-7.933,-10.109,-6.911,31.23,9.768,1.786,-23.92,-37.564,51.44,-11.585,-15.409,-5.883,28.901,-5.116,-10.424,2.117,1.908,7.937,5.167
25,512,AFG,LUR,Afghanistan,Percent of total labor force,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,512,AFG,LP,Afghanistan,Persons,Millions,18.707,19.477,20.237,20.947,21.596,22.426,22.997,23.596,24.269,25.031,25.864,26.736,27.601,28.425,29.2,29.7,31.6,32.2,32.941,33.698,34.473,35.266,36.077,36.907,37.756
28,512,AFG,GGR,Afghanistan,U.S. dollars,Billions,0.2989004285170847,0.4473679009876689,0.6522948458632873,0.9086094396673291,1.3120007113588978,1.624418128867004,1.7541803408249907,2.3396706174132578,3.3289763810503272,3.804274092286498,5.115923434824254,4.9105804016725925,4.887120253753044,4.967852075299412,5.066414841526837,5.116803626717284,5.625160295701557,5.085358293413174,5.174935262309466,5.189078453121581,5.705620758511626,6.239530725785613,6.347777956210786,6.203146659936362,6.349279838911296
30,512,AFG,GGX,Afghanistan,U.S. dollars,Billions,0.3032000995770771,0.5430580283892316,0.7754426952601436,0.9681101513154011,1.2674650176249287,1.8376501526333637,2.153895965094327,2.5543333349801642,3.1877319429750797,3.9244646876068794,5.078973168277558,5.037849538425723,5.241793037428997,5.246432001434895,5.043519914630556,5.244095203273536,5.324452677959464,5.285087335329342,5.645554275919767,5.687544036014631,6.025094704513941,6.402920697783567,6.507007923205554,6.422180582471765,6.58710403221774
32,512,AFG,GGXCNL,Afghanistan,U.S. dollars,Billions,-0.004299671059992392,-0.09569012740156262,-0.12312694853986433,-0.05948048706899378,0.04455571877611569,-0.21323202376635983,-0.39973552150783853,-0.21466271756690666,0.14124443807524736,-0.12019059532038144,0.03695026654669647,-0.12726913675313165,-0.3546727836759535,-0.27856344114074205,0.02289492689628103,-0.12729157655625226,0.3007076177420934,-0.1997290419161677,-0.47061901361030056,-0.4984655828930503,-0.31948609376253395,-0.16340157887242984,-0.1592299669947689,-0.21903392253540171,-0.23781396254875162
38,512,AFG,GGXWDN,Afghanistan,U.S. dollars,Billions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,914,ALB,NGDP_R,Albania,U.S. dollars,Billions,3.1551548942331946,3.870445675172411,4.804730599357967,5.212152620799515,5.619229113075561,6.46079653619574,7.4862200771736305,6.834496742836163,6.482504051950146,6.846490720579417,6.473796340063474,6.696105892374357,6.832164356307918,5.841413343698364,6.1227440807345435,6.641107806403767,7.603141715574793,7.6401297188443955,7.470071377779943,8.294273615212605,8.669345216442343,9.072210596584497,9.432078949304062,9.766573711497406,10.108736753072291
47,914,ALB,NGDP,Albania,U.S. dollars,Billions,4.348,5.611,7.1850000000000005,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.147,15.276,15.147,17.138,18.32,19.662,21.009,22.422,23.903
48,914,ALB,NGDPD,Albania,U.S. dollars,Billions,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.147,15.276,15.147,17.138,18.32,19.662,21.009,22.422,23.903
51,914,ALB,NGDPRPC,Albania,U.S. dollars,Units,1034.1348512516092,1273.334991988054,1587.3239969579317,1730.7584070393689,1877.7411388336666,2175.33911563414,2540.015842108672,2334.5684293931504,2225.353190803856,2356.6386320370284,2232.035340311072,2312.9174905225736,2364.805301345221,2027.7722601390215,2128.83515208356,2311.1921353819366,2652.526190283178,2662.330946801475,2607.225592047828,2899.5151956824793,3035.4717612821773,3181.602114592372,3313.0899194155254,3436.06251221873,3562.10912504768
54,914,ALB,NGDPDPC,Albania,U.S. dollars,Units,1425.13,1846.12,2373.58,2673.77,2972.75,3595.05,4370.56,4114.09,4097.83,4439.89,4248.91,4415.6,4584.92,3953.61,4124.41,4542.76,5284.44,5323.19,5286.68,5991.09,6414.39,6895.5,7379.46,7888.6,8422.97
57,914,ALB,PPPSH,Albania,Percent,,0.029,0.029,0.029,0.029,0.029,0.03,0.031,0.032,0.032,0.031,0.03,0.029,0.03,0.03,0.03,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031,0.031
59,914,ALB,NID_NGDP,Albania,Percent of GDP,,35.264,33.897,34.197,36.87,35.698,34.462,33.374,32.641,31.318,33.462,29.824,27.491,27.288,26.237,25.47,24.672,24.34,22.828,22.845,23.847,22.79,23.08,23.653,23.574,23.542
60,914,ALB,NGSD_NGDP,Albania,Percent of GDP,,25.056,26.156,28.359,27.784,29.59,23.837,17.569,16.654,20.023,20.254,19.674,16.827,13.361,15.804,16.796,17.085,17.129,14.539,13.255,15.136,14.563,15.043,15.92,16.076,16.335
